@RELATION all_data_pacman
	@ATTRIBUTE pacmanPosX NUMERIC
	@ATTRIBUTE pacmanPosY NUMERIC
	@ATTRIBUTE Ghost_1_PosX NUMERIC
	@ATTRIBUTE Ghost_1_PosY NUMERIC
	@ATTRIBUTE Ghost_2_PosX NUMERIC
	@ATTRIBUTE Ghost_2_PosY NUMERIC
	@ATTRIBUTE Ghost_3_PosX NUMERIC
	@ATTRIBUTE Ghost_3_PosY NUMERIC
	@ATTRIBUTE Ghost_4_PosX NUMERIC
	@ATTRIBUTE Ghost_4_PosY NUMERIC
	@ATTRIBUTE legalNorth NUMERIC
	@ATTRIBUTE legalSouth NUMERIC
	@ATTRIBUTE legalWest NUMERIC
	@ATTRIBUTE legalEast NUMERIC
	@ATTRIBUTE ghost_1_Directions {Stop, North, South, West, East, None}
	@ATTRIBUTE ghost_2_Directions {Stop, North, South, West, East, None}
	@ATTRIBUTE ghost_3_Directions {Stop, North, South, West, East, None}
	@ATTRIBUTE ghost_4_Directions {Stop, North, South, West, East, None}
	@ATTRIBUTE ghost_1_Distance NUMERIC
	@ATTRIBUTE ghost_2_Distance NUMERIC
	@ATTRIBUTE ghost_3_Distance NUMERIC
	@ATTRIBUTE ghost_4_Distance NUMERIC
	@ATTRIBUTE livingGhost_1 {True, False}
	@ATTRIBUTE livingGhost_2 {True, False}
	@ATTRIBUTE livingGhost_3 {True, False}
	@ATTRIBUTE livingGhost_4 {True, False}
	@ATTRIBUTE currentMove {Stop, North, South, West, East}

@data
7, 3, 1, 1, 3, 1, 5, 1, 17, 8, 1, 0, 1, 1, Stop, Stop, Stop, North, 1000, 1000, 1000, 16, False, False, False, True, East
8, 3, 1, 1, 3, 1, 5, 1, 17, 9, 1, 0, 1, 1, Stop, Stop, Stop, East, 1000, 1000, 1000, 16, False, False, False, True, East
8, 4, 1, 1, 3, 1, 5, 1, 18, 9, 1, 1, 1, 1, Stop, Stop, Stop, East, 1000, 1000, 1000, 15, False, False, False, True, North
8, 5, 1, 1, 3, 1, 5, 1, 18, 9, 1, 1, 1, 1, Stop, Stop, Stop, South, 1000, 1000, 1000, 13, False, False, False, True, North
9, 5, 1, 1, 3, 1, 5, 1, 18, 8, 1, 1, 1, 1, Stop, Stop, Stop, North, 1000, 1000, 1000, 13, False, False, False, True, East
10, 5, 1, 1, 3, 1, 5, 1, 18, 9, 1, 1, 1, 1, Stop, Stop, Stop, South, 1000, 1000, 1000, 11, False, False, False, True, East
11, 5, 1, 1, 3, 1, 5, 1, 18, 8, 0, 1, 1, 1, Stop, Stop, Stop, South, 1000, 1000, 1000, 9, False, False, False, True, East
12, 5, 1, 1, 3, 1, 5, 1, 18, 7, 0, 0, 1, 1, Stop, Stop, Stop, North, 1000, 1000, 1000, 9, False, False, False, True, East
13, 5, 1, 1, 3, 1, 5, 1, 18, 8, 0, 1, 1, 1, Stop, Stop, Stop, North, 1000, 1000, 1000, 8, False, False, False, True, East
14, 5, 1, 1, 3, 1, 5, 1, 18, 8, 1, 1, 1, 1, Stop, Stop, Stop, North, 1000, 1000, 1000, 8, False, False, False, True, East
14, 6, 1, 1, 3, 1, 5, 1, 18, 9, 1, 1, 0, 0, Stop, Stop, Stop, North, 1000, 1000, 1000, 8, False, False, False, True, North
14, 7, 1, 1, 3, 1, 5, 1, 18, 10, 1, 1, 1, 1, Stop, Stop, Stop, North, 1000, 1000, 1000, 7, False, False, False, True, North
15, 7, 1, 1, 3, 1, 5, 1, 18, 10, 1, 0, 1, 1, Stop, Stop, Stop, North, 1000, 1000, 1000, 6, False, False, False, True, East
16, 7, 1, 1, 3, 1, 5, 1, 18, 10, 1, 0, 1, 1, Stop, Stop, Stop, South, 1000, 1000, 1000, 4, False, False, False, True, East
17, 7, 1, 1, 3, 1, 5, 1, 18, 9, 1, 0, 1, 1, Stop, Stop, Stop, South, 1000, 1000, 1000, 3, False, False, False, True, East
17, 8, 1, 1, 3, 1, 5, 1, 18, 9, 1, 1, 1, 1, Stop, Stop, Stop, South, 1000, 1000, 1000, 1, False, False, False, True, North
1, 11, 6, 5, 6, 9, 8, 11, 14, 6, 0, 1, 0, 1, None, None, None, None, 11, 7, 7, 18, True, True, True, True, Stop
1, 11, 6, 4, 6, 10, 7, 11, 14, 6, 0, 1, 0, 1, South, North, West, Stop, 12, 6, 6, 18, True, True, True, True, Stop
2, 11, 6, 5, 6, 10, 7, 11, 14, 6, 0, 0, 1, 1, North, North, West, Stop, 10, 5, 5, 17, True, True, True, True, East
3, 11, 5, 5, 6, 9, 8, 11, 14, 6, 0, 0, 1, 1, West, South, East, South, 8, 5, 5, 17, True, True, True, True, East
4, 11, 4, 5, 6, 10, 9, 11, 14, 5, 0, 0, 1, 1, West, North, East, South, 6, 3, 5, 17, True, True, True, True, East
5, 11, 4, 4, 6, 10, 10, 11, 14, 4, 0, 1, 1, 1, South, North, East, North, 8, 2, 5, 15, True, True, True, True, East
6, 11, 4, 3, 6, 9, 10, 10, 14, 5, 0, 1, 1, 1, South, South, South, North, 10, 2, 5, 13, True, True, True, True, East
6, 10, 5, 3, 3, 1, 10, 9, 14, 6, 1, 1, 1, 0, East, Stop, South, North, 8, 1000, 5, 12, True, False, True, True, South
6, 9, 6, 3, 3, 1, 9, 9, 14, 6, 1, 1, 1, 1, East, Stop, West, North, 6, 1000, 3, 10, True, False, True, True, South
7, 9, 7, 3, 3, 1, 10, 9, 14, 7, 0, 1, 1, 1, East, Stop, East, South, 6, 1000, 3, 10, True, False, True, True, East
