@relation all_data_pacman-weka.filters.unsupervised.attribute.Remove-R15-22

@attribute pacmanPosX numeric
@attribute pacmanPosY numeric
@attribute Ghost_1_PosX numeric
@attribute Ghost_1_PosY numeric
@attribute Ghost_2_PosX numeric
@attribute Ghost_2_PosY numeric
@attribute Ghost_3_PosX numeric
@attribute Ghost_3_PosY numeric
@attribute Ghost_4_PosX numeric
@attribute Ghost_4_PosY numeric
@attribute legalNorth numeric
@attribute legalSouth numeric
@attribute legalWest numeric
@attribute legalEast numeric
@attribute livingGhost_1 {True,False}
@attribute livingGhost_2 {True,False}
@attribute livingGhost_3 {True,False}
@attribute livingGhost_4 {True,False}
@attribute currentMove {Stop,North,South,West,East}

@data
8,8,6,4,9,7,5,1,16,5,1,1,1,1,True,True,False,True,South
8,7,6,4,9,6,5,1,15,5,1,1,1,1,True,True,False,True,South
9,7,6,5,9,6,5,1,15,5,1,1,1,1,True,True,False,True,East
10,7,6,5,10,6,5,1,15,5,1,1,1,0,True,True,False,True,East
10,6,7,5,3,1,5,1,15,4,1,1,1,0,True,False,False,True,South
10,5,8,5,3,1,5,1,15,3,1,1,1,1,True,False,False,True,South
9,5,8,5,3,1,5,1,16,3,1,1,1,1,True,False,False,True,West
8,5,1,1,3,1,5,1,17,3,1,1,1,1,False,False,False,True,West
9,5,1,1,3,1,5,1,16,3,1,1,1,1,False,False,False,True,East
10,5,1,1,3,1,5,1,16,4,1,1,1,1,False,False,False,True,East
11,5,1,1,3,1,5,1,16,3,0,1,1,1,False,False,False,True,East
12,5,1,1,3,1,5,1,16,3,0,0,1,1,False,False,False,True,East
13,5,1,1,3,1,5,1,17,3,0,1,1,1,False,False,False,True,East
14,5,1,1,3,1,5,1,18,3,1,1,1,1,False,False,False,True,East
15,5,1,1,3,1,5,1,18,3,0,1,1,1,False,False,False,True,East
15,4,1,1,3,1,5,1,18,3,1,1,1,1,False,False,False,True,South
15,3,1,1,3,1,5,1,18,3,1,0,1,1,False,False,False,True,South
16,3,1,1,3,1,5,1,17,3,1,0,1,1,False,False,False,True,East
17,3,1,1,3,1,5,1,18,3,1,0,1,1,False,False,False,True,East
1,11,6,5,6,9,8,11,14,6,0,1,0,1,True,True,True,True,Stop
1,11,7,5,6,8,9,11,14,6,0,1,0,1,True,True,True,True,Stop
2,11,7,4,6,8,10,11,14,6,0,0,1,1,True,True,True,True,East
3,11,7,3,7,8,9,11,14,7,0,0,1,1,True,True,True,True,East
4,11,6,3,7,7,9,11,14,7,0,0,1,1,True,True,True,True,East
5,11,5,3,7,7,9,11,13,7,0,1,1,1,True,True,True,True,East
6,11,5,3,7,7,9,11,14,7,0,1,1,1,True,True,True,True,East
6,10,4,3,6,7,10,11,14,6,1,1,1,0,True,True,True,True,South
6,9,4,4,7,7,9,11,14,6,1,1,1,1,True,True,True,True,South
6,8,3,4,8,7,8,11,14,7,1,1,1,1,True,True,True,True,South
6,7,2,4,8,8,9,11,13,7,1,0,1,1,True,True,True,True,South
7,7,2,3,8,7,8,11,13,7,1,0,1,1,True,True,True,True,East
8,7,2,4,3,1,7,11,14,7,1,1,1,1,True,False,True,True,East
9,7,2,5,3,1,6,11,13,7,1,1,1,1,True,False,True,True,East
9,8,2,4,3,1,6,10,12,7,1,1,1,1,True,False,True,True,North
9,9,2,4,3,1,5,10,12,8,0,1,1,1,True,False,True,True,North
8,9,2,4,3,1,5,11,12,7,0,1,1,1,True,False,True,True,West
7,9,2,5,3,1,6,11,12,8,0,1,1,1,True,False,True,True,West
6,9,3,5,3,1,5,11,12,9,1,1,1,1,True,False,True,True,West
6,10,2,5,3,1,5,10,12,9,1,1,1,0,True,False,True,True,North
6,11,3,5,3,1,5,11,11,9,0,1,1,1,True,False,True,True,North
5,11,3,4,3,1,5,1,11,10,0,1,1,1,True,False,False,True,West
5,10,4,4,3,1,5,1,10,10,1,1,0,1,True,False,False,True,South
6,10,4,4,3,1,5,1,10,10,1,1,1,0,True,False,False,True,East
6,10,4,3,3,1,5,1,10,11,1,1,1,0,True,False,False,True,Stop
6,9,4,3,3,1,5,1,9,11,1,1,1,1,True,False,False,True,South
6,8,3,3,3,1,5,1,9,11,1,1,1,1,True,False,False,True,South
6,7,3,3,3,1,5,1,9,11,1,0,1,1,True,False,False,True,South
6,7,3,3,3,1,5,1,9,11,1,0,1,1,True,False,False,True,Stop
7,7,2,3,3,1,5,1,8,11,1,0,1,1,True,False,False,True,East
8,7,2,4,3,1,5,1,8,11,1,1,1,1,True,False,False,True,East
8,8,2,4,3,1,5,1,9,11,1,1,1,1,True,False,False,True,North
9,8,2,5,3,1,5,1,10,11,1,1,1,1,True,False,False,True,East
10,8,1,5,3,1,5,1,10,10,1,1,1,0,True,False,False,True,East
10,9,1,6,3,1,5,1,11,10,1,1,1,1,True,False,False,True,North
11,9,1,7,3,1,5,1,7,1,1,0,1,1,True,False,False,False,East
12,9,2,7,3,1,5,1,7,1,0,1,1,1,True,False,False,False,East
11,9,2,8,3,1,5,1,7,1,1,0,1,1,True,False,False,False,West
10,9,3,8,3,1,5,1,7,1,1,1,1,1,True,False,False,False,West
9,9,3,7,3,1,5,1,7,1,0,1,1,1,True,False,False,False,West
8,9,3,8,3,1,5,1,7,1,0,1,1,1,True,False,False,False,West
7,9,2,8,3,1,5,1,7,1,0,1,1,1,True,False,False,False,West
6,9,2,9,3,1,5,1,7,1,1,1,1,1,True,False,False,False,West
5,9,2,8,3,1,5,1,7,1,1,1,1,1,True,False,False,False,West
4,9,2,8,3,1,5,1,7,1,0,1,1,1,True,False,False,False,West
3,9,1,8,3,1,5,1,7,1,0,1,1,1,True,False,False,False,West
2,9,1,8,3,1,5,1,7,1,0,1,1,1,True,False,False,False,West
1,9,1,8,3,1,5,1,7,1,1,1,0,1,True,False,False,False,West
1,11,6,5,6,9,8,11,14,6,0,1,0,1,True,True,True,True,Stop
2,11,6,4,6,8,8,11,14,6,0,0,1,1,True,True,True,True,East
3,11,7,4,7,8,8,11,14,5,0,0,1,1,True,True,True,True,East
4,11,8,4,7,9,8,11,14,4,0,0,1,1,True,True,True,True,East
5,11,9,4,8,9,8,11,14,4,0,1,1,1,True,True,True,True,East
6,11,9,5,7,9,8,11,14,3,0,1,1,1,True,True,True,True,East
6,10,9,4,8,9,7,11,15,3,1,1,1,0,True,True,True,True,South
6,9,9,4,9,9,6,11,15,4,1,1,1,1,True,True,True,True,South
6,10,9,5,10,9,7,11,15,5,1,1,1,0,True,True,True,True,North
6,11,8,5,10,9,5,1,16,5,0,1,1,1,True,True,False,True,North
7,11,8,4,9,9,5,1,15,5,0,0,1,1,True,True,False,True,East
8,11,7,4,10,9,5,1,14,5,0,0,1,1,True,True,False,True,East
9,11,6,4,10,8,5,1,14,4,0,0,1,1,True,True,False,True,East
10,11,6,5,10,8,5,1,14,3,0,1,1,1,True,True,False,True,East
10,10,6,5,9,8,5,1,13,3,1,1,0,1,True,True,False,True,South
10,9,5,5,9,8,5,1,13,4,1,1,1,1,True,True,False,True,South
9,9,5,5,3,1,5,1,13,3,0,1,1,1,True,False,False,True,West
8,9,5,4,3,1,5,1,14,3,0,1,1,1,True,False,False,True,West
8,8,4,4,3,1,5,1,14,3,1,1,1,1,True,False,False,True,South
8,7,3,4,3,1,5,1,13,3,1,1,1,1,True,False,False,True,South
8,6,4,4,3,1,5,1,14,3,1,1,0,1,True,False,False,True,South
8,5,5,4,3,1,5,1,14,3,1,1,1,1,True,False,False,True,South
7,5,5,5,3,1,5,1,14,3,0,1,1,1,True,False,False,True,West
6,5,4,5,3,1,5,1,14,3,0,1,1,1,True,False,False,True,West
5,5,3,5,3,1,5,1,13,3,0,1,1,1,True,False,False,True,West
4,5,1,1,3,1,5,1,13,3,0,1,1,1,False,False,False,True,West
5,5,1,1,3,1,5,1,14,3,0,1,1,1,False,False,False,True,East
6,5,1,1,3,1,5,1,13,3,0,1,1,1,False,False,False,True,East
7,5,1,1,3,1,5,1,13,3,0,1,1,1,False,False,False,True,East
8,5,1,1,3,1,5,1,13,3,1,1,1,1,False,False,False,True,East
9,5,1,1,3,1,5,1,13,4,1,1,1,1,False,False,False,True,East
10,5,1,1,3,1,5,1,13,5,1,1,1,1,False,False,False,True,East
1,11,6,5,6,9,8,11,14,6,0,1,0,1,True,True,True,True,Stop
2,11,5,5,6,9,8,11,14,6,0,0,1,1,True,True,True,True,East
3,11,5,5,6,8,8,11,14,7,0,0,1,1,True,True,True,True,East
4,11,6,5,5,8,9,11,13,7,0,0,1,1,True,True,True,True,East
5,11,6,5,5,7,9,11,12,7,0,1,1,1,True,True,True,True,East
6,11,7,5,6,7,8,11,12,8,0,1,1,1,True,True,True,True,East
6,10,7,4,7,7,7,11,12,8,1,1,1,0,True,True,True,True,South
6,9,7,5,6,7,8,11,12,7,1,1,1,1,True,True,True,True,South
6,8,7,4,3,1,9,11,12,7,1,1,1,1,True,False,True,True,South
7,8,6,4,3,1,8,11,12,8,1,1,1,1,True,False,True,True,East
7,7,7,4,3,1,8,11,12,9,1,0,1,1,True,False,True,True,South
8,7,7,4,3,1,9,11,12,8,1,1,1,1,True,False,True,True,East
8,6,7,5,3,1,10,11,12,9,1,1,0,1,True,False,True,True,South
8,5,6,5,3,1,10,10,12,9,1,1,1,1,True,False,True,True,South
7,5,5,5,3,1,11,10,12,8,0,1,1,1,True,False,True,True,West
7,4,4,5,3,1,10,10,12,7,1,1,1,1,True,False,True,True,South
6,4,4,5,3,1,10,9,13,7,1,1,1,1,True,False,True,True,West
5,4,3,5,3,1,11,9,12,7,1,1,1,1,True,False,True,True,West
4,4,2,5,3,1,12,9,12,8,1,1,1,1,True,False,True,True,West
4,5,1,5,3,1,11,9,12,8,0,1,1,1,True,False,True,True,North
3,5,1,6,3,1,12,9,13,8,0,1,1,1,True,False,True,True,West
2,5,1,5,3,1,11,9,13,7,0,1,1,1,True,False,True,True,West
1,5,1,1,3,1,12,9,14,7,1,1,0,1,False,False,True,True,West
2,5,1,1,3,1,12,8,14,7,0,1,1,1,False,False,True,True,East
3,5,1,1,3,1,12,8,13,7,0,1,1,1,False,False,True,True,East
4,5,1,1,3,1,12,8,14,7,0,1,1,1,False,False,True,True,East
5,5,1,1,3,1,12,8,15,7,0,1,1,1,False,False,True,True,East
6,5,1,1,3,1,13,8,15,8,0,1,1,1,False,False,True,True,East
7,5,1,1,3,1,12,8,14,8,0,1,1,1,False,False,True,True,East
8,5,1,1,3,1,13,8,14,9,1,1,1,1,False,False,True,True,East
9,5,1,1,3,1,13,8,15,9,1,1,1,1,False,False,True,True,East
10,5,1,1,3,1,13,8,15,8,1,1,1,1,False,False,True,True,East
10,6,1,1,3,1,12,8,16,8,1,1,1,0,False,False,True,True,North
10,7,1,1,3,1,12,9,16,8,1,1,1,0,False,False,True,True,North
10,8,1,1,3,1,12,8,16,7,1,1,1,0,False,False,True,True,North
10,9,1,1,3,1,12,7,15,7,1,1,1,1,False,False,True,True,North
11,9,1,1,3,1,12,7,15,7,1,0,1,1,False,False,True,True,East
12,9,1,1,3,1,12,7,14,7,0,1,1,1,False,False,True,True,East
12,8,1,1,3,1,5,1,15,7,1,1,0,1,False,False,False,True,South
